title,line,structure,longitude,latitude,id
Samaypur Badli,Yellow Line,Elevated,28.7446341,77.137893,001 
Rohini Sector 18 19,Yellow Line,Elevated,28.7383223,77.138780,002
Haiderpur Badli Mor,Yellow Line,Elevated,28.7299222,77.146941,003 
Jahangirpuri,Yellow Line,Elevated,28.725828,77.16278,004 
Adarsh Nagar,Yellow Line,Elevated,28.718104,77.16938,005 
Azadpur,Yellow Line,Elevated,28.707273,77.17997,006 
Azadpur,Pink Line,Elevated,28.707273,77.17997,006 
Model Town,Yellow Line,Elevated,28.702822,77.19386,007 
GTB Nagar,Yellow Line,Underground,28.698206,77.20701,008 
Viswavidyalaya,Yellow Line,Underground,28.694813,77.21459,009
Vidhan Sabha,Yellow Line,Underground,28.687858,77.22177,010 
Civil Lines,Yellow Line,Underground,28.676921,77.22499,011 
Kashmere Gate,Red Line,Elevated,28.667489,77.22804,012 
Kashmere Gate,Voilet Line,Elevated,28.667489,77.22804,012 
Kashmere Gate,Yellow Line,Elevated,28.667489,77.22804,012 
Chandhni Chowk,Yellow Line,Underground,28.657838,77.23016,013
Chawri Bazar,Yellow Line,Underground,28.649564,77.22622,014 
New Delhi,Yellow Line,Underground,28.642229,77.22153,015 
New Delhi,Orange Line,Underground,28.642229,77.22153,015 
Rajiv Chowk,Yellow Line,Underground,28.632846,77.21963,016 
Rajiv Chowk,Blue Line,Underground,28.632846,77.21963,016 
Patel Chowk,Yellow Line,Underground,28.623235,77.21178,017 
Central Secretariat,Yellow Line,Underground,28.615042,77.21178,018 
Central Secretariat,Violet Line,Underground,28.615042,77.21178,018 
Udyog Bhawan,Yellow Line,Underground,28.6110187,77.211149,019 
Lok Kalyan Marg,Yellow Line,Underground,28.5976354,77.209992,020
Jorbagh,Yellow Line,Underground,28.5860802,77.212036,021 
INA,Yellow Line,Underground,28.5752244,77.207311,022 
INA,Pink Line,Underground,28.5752244,77.207311,022 
AIIMS,Yellow Line,Underground,28.56667,77.20808,023 
Green Park,Yellow Line,Underground,28.559533,77.206386,024 
Hauz Khas,Yellow Line,Underground,28.543596,77.2041863,025
Hauz Khas,Magenta Line,Underground,28.543596,77.2041863,025
Malvia Nagar,Yellow Line,Underground,28.5286861,77.203291,026
Saket,Yellow Line,Underground,28.5205465,77.200364,027 
Qutab Minar,Yellow Line,Elevated,28.5129,77.186,028 
Chhattarpur,Yellow Line,Elevated,28.506552,77.17492,029
Sultanpur,Yellow Line,Elevated,28.499260,77.16136,030 
