weight
[2:3] 
[1:3] [3:4] 
[2:4] [4:3] 
[3:3] [5:1] 
[4:1] [6:4] 
[94:2] [95:5] [5:4] [7:2] 
[94:2] [95:5] [5:4] [7:2] 
[6:2] [8:2] 
[7:2] [9:2] 
[8:2] [10:2] 
[9:2] [11:3] 
[10:3] [12:2] 
[139:4] [140:1] [174:3] [11:2] [13:4] 
[139:4] [140:1] [174:3] [11:2] [13:4] 
[139:4] [140:1] [174:3] [11:2] [13:4] 
[12:4] [14:1] 
[144:3] [13:1] [15:2] 
[224:2] [14:2] [16:3] 
[224:2] [14:2] [16:3] 
[58:2] [59:2] [15:3] [17:3] 
[58:2] [59:2] [15:3] [17:3] 
[16:3] [18:2] 
[178:1] [179:3] [17:2] [19:2] 
[178:1] [179:3] [17:2] [19:2] 
[18:2] [20:3] 
[19:3] [21:3] 
[20:3] [22:2] 
[106:2] [107:2] [21:2] [23:3] 
[106:2] [107:2] [21:2] [23:3] 
[22:3] [24:2] 
[23:2] [25:2] 
[161:3] [162:2] [24:2] [26:3] 
[161:3] [162:2] [24:2] [26:3] 
[25:3] [27:3] 
[26:3] [28:3] 
[27:3] [29:3] 
[28:3] [30:2] 
[29:2] [31:2] 
[30:2] [32:4] 
[31:4] [33:4] 
[32:4] [34:2] 
[33:2] [35:3] 
[34:3] [36:3] 
[35:3] [37:2] 
[36:2] 
[39:4] 
[38:4] [40:7] 
[39:7] [41:4] 
[40:4] [42:2] 
[41:2] [43:2] 
[42:2] [44:4] 
[43:4] [45:3] 
[44:3] [46:2] 
[45:2] [47:2] [173:2] 
[45:2] [47:2] [173:2] 
[46:2] [48:2] 
[47:2] [49:2] 
[48:2] [50:2] 
[49:2] [51:2] 
[50:2] [52:4] 
[51:4] [53:2] [111:5] [112:1] 
[52:2] [54:8] 
[53:8] [55:2] [87:1] 
[54:2] [56:1] 
[55:1] [57:2] 
[56:2] [58:3] [177:1] [178:3] 
[56:2] [58:3] [177:1] [178:3] 
[57:3] [16:2] 
[16:2] [60:2] 
[59:2] [61:2] 
[60:2] [62:2] 
[61:2] [63:2] 
[62:2] [64:2] 
[63:2] [65:2] 
[64:2] [66:2] [223:2] 
[64:2] [66:2] [223:2] 
[65:2] [67:2] 
[66:2] [68:2] 
[67:2] [69:2] [99:2] [100:2] 
[67:2] [69:2] [99:2] [100:2] 
[68:2] [70:2] 
[69:2] [71:2] 
[70:2] [72:2] 
[71:2] [73:2] 
[72:2] [74:2] [152:2] 
[72:2] [74:2] [152:2] 
[73:2] [75:2] 
[74:2] [76:2] 
[75:2] [77:2] 
[76:2] [78:3] 
[77:3] [79:3] [228:2] 
[77:3] [79:3] [228:2] 
[78:3] [80:2] 
[79:2] [81:2] 
[80:2] [82:2] 
[81:2] [83:2] 
[82:2] [84:2] 
[83:2] [85:2] 
[84:2] [86:2] 
[85:2] [227:5] 
[85:2] [227:5] 
[54:1] [88:3] 
[87:3] [89:2] 
[88:2] [90:3] 
[89:3] [91:2] [117:4] 
[90:2] [92:4] [116:2] 
[90:2] [92:4] [116:2] 
[91:4] [93:3] 
[92:3] 
[6:2] 
[6:5] [96:2] 
[95:2] [97:1] [146:3] [147:2] 
[95:2] [97:1] [146:3] [147:2] 
[96:1] [98:3] 
[97:3] [99:4] 
[101:3] [103:4] 
[103:2] [105:3] 
[104:3] [106:3] 
[105:3] [22:2] 
[22:2] [108:2] 
[107:2] [109:2] [181:3] [182:2] 
[107:2] [109:2] [181:3] [182:2] 
[108:2] [110:1] 
[109:1] [111:4] 
[52:1] [113:1] 
[52:1] [113:1] 
[112:1] [114:3] 
[113:3] [115:3] 
[114:3] [116:2] 
[115:2] [91:2] 
[90:4] [118:4] 
[117:4] [119:3] 
[118:3] [120:2] 
[119:2] [121:3] [137:2] [138:3] 
[119:2] [121:3] [137:2] [138:3] 
[120:3] [122:3] 
[121:3] [123:3] 
[122:3] [124:2] 
[123:2] [125:2] 
[124:2] 
[127:2] 
[126:2] [128:2] 
[127:2] [129:2] 
[128:2] [130:3] 
[129:3] [131:2] 
[130:2] [132:3] 
[131:3] [133:2] 
[132:2] [134:3] 
[133:3] [135:1] 
[134:1] [136:3] 
[135:3] [137:3] 
[136:3] [120:2] 
[120:3] [139:3] 
[138:3] [12:4] 
[12:1] [141:3] 
[140:3] [142:2] 
[141:2] [143:3] 
[142:3] 
[203:4] [14:3] [145:3] 
[203:4] [14:3] [145:3] 
[144:3] [146:2] 
[145:2] [96:3] 
[96:2] [148:2] 
[147:2] [149:3] 
[148:3] [150:3] 
[149:3] [151:2] 
[150:2] 
[73:2] [153:2] 
[152:2] [154:3] 
[153:3] [155:4] 
[154:4] [156:4] 
[155:4] [157:2] 
[156:2] [158:4] 
[157:4] [159:2] 
[158:2] [160:3] 
[159:3] [161:2] 
[160:2] [25:3] 
[25:2] [163:1] 
[162:1] [164:2] 
[163:2] [165:4] 
[164:4] [166:1] 
[165:1] [167:2] [184:1] [185:3] 
[165:1] [167:2] [184:1] [185:3] 
[166:2] [168:1] 
[167:1] [169:4] 
[168:4] [170:3] 
[169:3] [171:4] 
[170:4] [172:2] 
[171:2] [173:3] 
[172:3] [46:2] 
[12:3] [175:2] 
[174:2] [176:3] 
[175:3] [177:3] 
[176:3] [57:1] 
[57:3] [18:1] 
[18:3] [180:2] 
[179:2] [181:2] 
[180:2] [108:3] 
[108:2] [183:3] 
[182:3] [184:2] 
[183:2] [166:1] 
[166:3] [186:2] 
[185:2] [187:3] 
[186:3] [188:2] 
[187:2] [189:2] 
[188:2] [190:3] 
[189:3] [191:2] 
[190:2] [192:3] 
[191:3] [193:5] 
[192:5] [194:2] 
[193:2] [195:2] 
[194:2] [196:3] 
[195:3] [197:2] 
[196:2] [198:2] 
[197:2] [199:3] 
[198:3] [200:3] 
[199:3] [201:3] 
[200:3] [202:4] 
[201:4] 
[144:4] [204:1] [223:3] 
[203:1] [205:3] 
[204:3] [206:3] 
[205:3] [207:2] 
[206:2] [208:2] 
[207:2] [209:1] 
[208:1] [210:3] 
[209:3] [211:2] 
[210:2] [212:3] 
[211:3] [213:2] 
[212:2] [214:3] 
[213:3] [215:2] 
[214:2] [216:2] 
[215:2] [217:5] 
[216:5] [218:2] 
[217:2] [219:3] 
[218:3] [220:3] 
[219:3] [221:3] 
[220:3] [222:4] 
[221:4] 
[203:3] [65:2] 
[15:2] [225:7] 
[224:7] [226:9] [103:0] 
[225:9] [227:7] 
[78:2] [229:3] 
[228:3] [230:4] 
